Production,Year,Venue/type,Music,Lyrics,Book,Notes,Reference
Captain January,1936,Film,Lew Pollack,Pollack,"Sam Hellman, Gladys Lehman and Harry Tugend",,
Captain Jinks,1925,Broadway,Lewis E. Gensler and Stephen Jones,B.G. DeSylva and Laurence Schwab,Frank Mandel,,
Captain Louie,1988,Off-Broadway,Stephen Schwartz,Schwartz,Anthony Stein,,
Captain of the Guard,1930,Film,Charles Wakefield Cadman,Cadman,Houston Branch,,
The Card,1973,West End,Tony Hatch and Jackie Trent,Hatch and Trent,Keith Waterhouse and Willis Hall,,
Carefree,1938,Film,Irving Berlin,Berlin,Allan Scott and Ernest Pagano,Starred Fred Astaire and Ginger Rogers.,
Carib Song,1945,Broadway,Baldwin Bergersen,William Archibald,Archibald,,
Carmelina,1979,Broadway,Burton Lane,Alan Jay Lerner,Joseph Stein and Lerner,,
Carmen,2007,Czech,Frank Wildhorn,Jack Murphy,Norman Allen,,
Carmen Jones,1943,Broadway,Georges Bizet,Oscar Hammerstein II,Hammerstein II,Featured the music from the opera Carmen.,
Carnival!,1961,Broadway,Bob Merrill,Merrill,Michael Stewart,"Notable song: ""Love Makes the World Go 'Round"".",
Carnival in Flanders,1953,Broadway,Jimmy Van Heusen,Johnny Burke,Preston Sturges,"Notable song: ""Here's That Rainy Day"".",
Carolina Blues,1944,Film,George Duning,Duning,Joseph Hoffman and Al Martin,,
"Caroline, or Change",2004,Broadway,Jeanine Tesori,Tony Kushner,Kushner,,
"Carousel 

+ film (1956)",1945,Broadway,Richard Rodgers,Oscar Hammerstein II,Hammerstein II,"Notable songs: ""Soliloquy"", ""You'll Never Walk Alone"" and ""If I Loved You"".",
Carrie,1988,Broadway,Michael Gore,Dean Pitchford,Lawrence D. Cohen,,
Casbah,1948,Film,Harold Arlen,Leo Robin,Leslie Bush-Fekete [de],,
The Casino Girl,1900,Broadway,Various artists,Various artists,Harry B. Smith,,
Castles in the Air,1926,Broadway,Percy Wenrich,Raymond W. Peck,Peck,,
The Cat and the Fiddle,1931,Broadway,Jerome Kern,Otto Harbach,Harbach,,
Cat Kid Comic Club: The Musical,2023,Off-Broadway,Brad Alexander,Kevin Del Aguila,Kevin Del Aguila,Based on the Cat Kid Comic Club graphic novels by Dav Pilkey,
Catch Me If You Can,2009,Broadway,Marc Shaiman,Scott Wittman and Shaiman,Terrence McNally,"Notable songs: ""Live in Living Color"", and ""Jet Set"".",
Catch My Soul,1970,West End,Ray Pohlman and Emil Dean Zoghby,Jack Good,William Shakespeare,,
The Catch of the Season,1904,West End,Herbert Haines and Evelyn Baker,Charles H. Taylor,Seymour Hicks and Cosmo Hamilton,,
A Catered Affair,2008,Broadway,John Bucchino,Bucchino,Harvey Fierstein,,
"Cats 

+ films (1998) and (2019)",1981,West End,Andrew Lloyd Webber,T. S. Eliot,Trevor Nunn,"Notable songs: ""Memory"", ""Mr. Mistoffelees"" and ""Macavity: The Mystery Cat"".",
Cats Don't Dance,1997,Animated film,Randy Newman,Newman,"Roberts Gannaway, Cliff Ruby and Elana Lesser",,
Celebration,1969,Broadway,Harvey Schmidt,Tom Jones,Jones,,
Centennial Summer,1946,Film,Jerome Kern,Oscar Hammerstein II,Michael Kanin,,
The Century Girl,1916,Broadway revue,Victor Herbert and Irving Berlin,Berlin and Henry Blossom,—N/a,,
Champagne Charlie,1944,Film,Billy Mayerl,Lord Berners,"John Dighton, Angus MacPhail and Austin Melford","Notable song: ""Champagne Charlie"".",
