Production,Year,Venue/type,Music,Lyrics,Book,Notes,Reference
The Band Wagon,1931,Broadway revue,Arthur Schwartz,Howard Dietz,—N/a,"Notable songs: ""I Love Louisa"", ""Hoops"" and ""Dancing in the Dark"".",
Bandanna Land,1908,Broadway,Will Marion Cook,Jesse A. Shipp and Alex Rogers,Shipp and Rogers,,
The Band's Visit,2016,Broadway,David Yazbek,Yazbek,Itamar Moses,Based on the film of the same name.,
Bandstand,2015,Broadway,Richard Oberacker,Oberacker and Robert Taylor,Oberacker and Taylor,,
Banjo Boy,2008,Regional,Randolph Hobler,Randolph Hobler,Randolph Hobler,Based on the life of Meredith Willson.,
Banjo Eyes,1941,Broadway,Vernon Duke,John La Touche and Harold Adamson,Joseph Quinlan and Izzy Ellinson,,
Bar Mitzvah Boy,1978,West End,Jule Styne,Don Black,Jack Rosenthal,,
Barbarella,2004,Austrian,Dave Stewart,Stewart,Stewart,Based on the 1968 film.,
The Bardy Bunch,2014,Off-Broadway,Various Artists,Various Artists,Stephen Garvey,,
Bare,2012,Off-Broadway,Damon Intrabartolo,Jon Hartmere,Hartmere,"New, revised version of Bare: A Pop Opera.",
Bare: A Pop Opera,2000,Off-Broadway,Damon Intrabartolo,"Jon Hartmere, Jr.","Intrabartolo and Hartmere, Jr.","Notable song: ""Portrait of a Girl"".",
Bare Facts of 1926,1926,Broadway revue,Charles M. Schwab,Henry Myers,Stuart Hamill,,
Barefoot Boy with Cheek,1947,Broadway,Sidney Lippman,Sylvia Dee,Max Shulman,,
The Barkleys of Broadway,1949,Film,Harry Warren and George Gershwin,Ira Gershwin,"Betty Comden, Adolph Green and Sidney Sheldon",,
Barnum,1980,Broadway,Cy Coleman,Michael Stewart,Mark Bramble,,
Baron Trenck,1912,Broadway,Felix Albini,Frederick F. Schrader,Henry Blossom,,
The Baroness Fiddlesticks,1904,Broadway,Emil Bruguiere,George De Long,De Long,,
Bashville,1983,West End,Denis King,Benny Green,David William,Adapted from The Admirable Bashville by George Bernard Shaw,
Bat Boy,2001,Off-Broadway,Laurence O'Keefe,O'Keefe,Keythe Farley and Brian Flemming,,
Bat Out of Hell,2017,West End,Jim Steinman,Steinman,Steinman,,
Bathhouse,2006,Off-Broadway,Tim EvanickiEsther Daack,Tim EvanickiEsther Daack,Tim EvanickiEsther Daack,,
Bats,1983,Australian,Ian Dorricott,Simon Denver,Dorricott and Denver,,
The Battle of Paris,1929,Film,"Cole Porter, Jay Gorney and Dick Howard",Howard Dietz and Porter,Gene Markey,,
Bayside!,2013,Off-Broadway,Bob and Tobly McSmith,Bob and Tobly McSmith,Bob and Tobly McSmith,A musical parody of the television show Saved by the Bell.,
Be More Chill,"2015, 2018, 2019",Broadway,Joe Iconis,Joe Iconis,Joe Tracz,,
Be Yourself,1930,Film,Hugo Riesenfeld,Riesenfeld,Joseph Jackson,,
Beaches,"2014, 2026",Broadway,Mike Stoller,Iris Rainer Dart,"Dart, Thom Thomas",, 
Beat the Band,1942,Television,Various artists,Various artists,—N/a,,
Beatlemania,1977,Broadway revue,The Beatles,The Beatles,"Bob Gill, Robert Rabinowitz and Lynda Obst",,
Beau,2025,Off-Broadway,Ethan D. Packhar and Douglas Lyons,Lyons,Lyons,,
Beautiful and Damned,2004,West End,Les Reed and Roger Cook,Reed and Cook,Kit Hesketh-Harvey,Based on The Beautiful and the Damned by F. Scott Fitzgerald,
The Beautiful Game,2000,West End,Andrew Lloyd Webber,Ben Elton,Lloyd Webber and Elton,,
A Beautiful Noise: The Neil Diamond Story,2022,Broadway,Neil Diamond,Diamond,Anthony McCarten,The life and music of Neil Diamond,
Beautiful: The Carole King Musical,2014,Broadway,"Gerry Goffin, Carole King, Barry Mann and Cynthia Weil","Goffin, King, Mann and Weil",Douglas McGrath,,
"Beauty and the Beast 

+ film (1991) 

+ film (2017)",1994,Broadway,Alan Menken,Howard Ashman and Tim Rice,Linda Woolverton,"Based on animated Walt Disney film of the same name. Notable songs: ""Be Our Guest"" and ""Beauty and the Beast"".",
The Beauty Shop,1914,Off-Broadway,Charles J. Gebest,Rennold Wolf,,,
The Beauty Spot,1909,Off-Broadway,Reginald De Koven,Joseph W. Herbert,Herbert,,
Beauty World,1988,Singaporean,Dick Lee,Michael Chiang,Chiang,,
Because of Winn-Dixie,2013,Regional,Duncan Sheik,Sheik,Nell Benjamin,Based on the 2005 film of the same name.,
Because You're Mine,1952,Film,Johnny Green,Green,Ruth Brooks Flippen and Sy Gomberg,,
Becoming Nancy,2019,Regional,George Stiles,Anthony Drewe,Elliot Davis,,
Bed and Sofa,1996,Off-Broadway,Polly Penn,Laurence Klavan,Klavan,,
"Bedknobs and Broomsticks 

+ film (1971)",2019,Touring Production,"Richard M. Sherman, Robert B. Sherman","Sherman, Sherman",Brian Hill,,
A Bedtime Story,1933,Film,Ralph Rainger,Rainger,Benjamin Glazer and Nunnally Johnson,,
The Bedwetter,2022,Off-Broadway,Adam Schlesinger,Schlesinger and Sarah Silverman,Joshua Harmon and Silverman,"Based on the book The Bedwetter: Stories of Courage, Redemption, and Pee by Silverman",
Before After,2010,Japan,Stuart Matthew Price,Price,Timothy Knapman,,
Beetlejuice,2018,Broadway,Eddie Perfect,Perfect,Scott Brown and Anthony King,Based on the 1988 film of the same name.,
The Beggar Student,1882,German operetta,Carl Millöcker,Camillo Walzel and Richard Genée,Millöcker,,
Beggar's Holiday,1946,Broadway,Duke Ellington,John La Touche,La Touche,,
The Beggar's Opera,1728,West End opera,John Gay,Gay,Gay,,
Beguiled Again,1997,Revue,Richard Rodgers,Lorenz Hart,Various,,
Behind the Iron Mask,2005,West End,John Robinson,Robinson,Colin Scott and Melinda Walker,The show draws inspiration from the Man in the Iron Mask.,
Bel-Ami,2014,Off-West End,Alex Loveless,Loveless,Loveless,A contemporary musical adaptation of the book of the same name.,
Bell Bottom George,1943,Film,Harry Bidgood,Bidgood,Edward Dryhurst and Peter Fraser,,
Bella: An American Tall Tale,2016,Off-Broadway,Kristen Childs,Kristen Childs,Kristen Childs,,
La belle Hélène,1864,Paris opera bouffe,Jacques Offenbach,Henri Meilhac and Ludovic Halévy,Offenbach,,
La Belle Meunière,1948,Film,Tony Aubin,Aubin,Marcel Pagnol,,
The Belle of Brittany,1908,Opera,Howard Talbot and Marie Horne,Percy Greenbank,Leedham Bantock and P.J. Barrow,,
The Belle of New York,1897,Broadway,Gustave Kerker,Hugh Morton,Morton,,
Belle of the Nineties,1934,Film,Arthur Johnston,Johnston,Mae West,,
Belle of the Yukon,1944,Film,Arthur Lange,Lange,Houston Branch,,
Belles belles belles,2003,French jukebox,"Claude François, Jean-Pierre Bourtayre, Carolin Petit","Claude François, Daniel Moyne","Daniel Moyne, Jean-Pierre Bourtayre",Based on songs by Claude François.,
Bells Are Ringing,1956,Broadway,Jule Styne,Betty Comden and Adolph Green,Comden and Green,A film was released in 1960.,
Belmont Varieties,1932,Broadway revue,Various artists,Various artists,—N/a,,
The Beloved Vagabond,1936,Film,Darius Milhaud,Milhaud,William John Locke,,
Ben Franklin in Paris,1964,Broadway,"Mark Sandrich, Jr. and Jerry Herman",Sidney Michaels,Michaels,,
Bend It Like Beckham,2015,West End,Howard Goodall,Charles Hart,Gurinder Chadha and Paul Mayeda Berges,,
Bernarda Alba,2006,Off-Broadway,Michael John LaChiusa,LaChiusa,LaChiusa,,
